-34.300~172.900,-34.300~172.900:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.300~173.000,-34.300~173.000:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.300~173.100,-34.300~173.100:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.400~172.600,-34.400~172.600:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.400~172.700,-34.400~172.700:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.400~172.800,-34.400~172.800:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.400~172.900,-34.400~172.900:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.400~173.000,-34.400~173.000:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.400~173.100,-34.400~173.100:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.500~172.600,-34.500~172.600:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.500~172.700,-34.500~172.700:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.500~172.800,-34.500~172.800:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.500~172.900,-34.500~172.900:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.500~173.000,-34.500~173.000:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.500~173.100,-34.500~173.100:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.600~172.600,-34.600~172.600:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.600~172.700,-34.600~172.700:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.600~172.800,-34.600~172.800:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.600~172.900,-34.600~172.900:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.600~173.000,-34.600~173.000:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.600~173.100,-34.600~173.100:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.700~172.700,-34.700~172.700:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.700~172.800,-34.700~172.800:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.700~172.900,-34.700~172.900:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.700~173.000,-34.700~173.000:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.700~173.100,-34.700~173.100:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.700~173.200,-34.700~173.200:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.700~173.300,-34.700~173.300:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.700~173.400,-34.700~173.400:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.700~173.500,-34.700~173.500:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.800~172.800,-34.800~172.800:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.800~172.900,-34.800~172.900:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.800~173.000,-34.800~173.000:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.800~173.100,-34.800~173.100:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.800~173.200,-34.800~173.200:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.800~173.300,-34.800~173.300:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.800~173.400,-34.800~173.400:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.800~173.500,-34.800~173.500:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.900~172.900,-34.900~172.900:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.900~173.000,-34.900~173.000:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.900~173.100,-34.900~173.100:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.900~173.200,-34.900~173.200:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.900~173.300,-34.900~173.300:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.900~173.400,-34.900~173.400:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.900~173.500,-34.900~173.500:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.900~173.600,-34.900~173.600:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.900~173.700,-34.900~173.700:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.900~173.800,-34.900~173.800:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-34.900~173.900,-34.900~173.900:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.000~173.000,-35.000~173.000:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.000~173.100,-35.000~173.100:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.000~173.200,-35.000~173.200:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.000~173.300,-35.000~173.300:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.000~173.400,-35.000~173.400:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.000~173.500,-35.000~173.500:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.000~173.600,-35.000~173.600:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.000~173.700,-35.000~173.700:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.000~173.800,-35.000~173.800:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.000~173.900,-35.000~173.900:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.000~174.000,-35.000~174.000:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.100~173.000,-35.100~173.000:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.100~173.100,-35.100~173.100:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.100~173.200,-35.100~173.200:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.100~173.300,-35.100~173.300:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.100~173.400,-35.100~173.400:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.100~173.500,-35.100~173.500:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.100~173.600,-35.100~173.600:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.100~173.700,-35.100~173.700:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.100~173.800,-35.100~173.800:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.100~173.900,-35.100~173.900:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.100~174.000,-35.100~174.000:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.100~174.100,-35.100~174.100:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.100~174.200,-35.100~174.200:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.100~174.300,-35.100~174.300:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.100~174.400,-35.100~174.400:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
-35.109~173.262,-35.109~173.262:275:000020:T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==
